3104.862	66.27655	114.7853	218.3245	4	57.2092	0	42.6908	0
3104.987	68.0555	118.1423	218.9568	4	56.706	0	43.194	0
3105.112	69.80766	121.6189	219.7663	4	53.8804	0	46.0196	0
3105.237	71.31673	124.5726	220.5606	4	50.3504	0	49.5496	0
3105.362	72.40684	126.5021	221.1843	4	47.9119	0	51.9881	0
3105.487	72.9658	127.151	221.5524	4	46.3746	0	53.5254	0
3105.612	72.96587	126.6751	221.7522	4	44.1706	0	55.7294	0
3105.737	72.86895	126.1407	222.078	4	41.8738	0	58.0262	0
3105.862	73.00951	126.0181	222.6704	4	40.7818	0	59.1182	0
3105.987	73.63458	126.5306	223.584	4	41.6799	0	58.2201	0
3106.112	74.87165	127.6742	224.7872	4	45.4744	0	54.4256	0
3106.237	76.65684	129.1714	226.1264	4	52.9362	0	46.9638	0
3106.362	78.41543	130.4932	227.2223	4	63.1338	0	36.7662	0
3106.487	79.62462	131.4398	227.8293	4	71.9182	0	27.9818	0
3106.612	80.01917	131.951	227.8356	4	75.8986	0	24.0014	0
3106.737	79.49374	132.0247	227.2461	4	75.7857	0	24.1143	0
3106.862	78.11174	131.697	226.1894	4	73.2065	0	26.6935	0
3106.987	76.08025	130.8085	224.9829	4	69.9358	0	29.9642	0
3107.112	73.87431	129.1941	223.9609	4	67.0262	0	32.8738	0
3107.237	71.66721	126.7876	223.1426	4	64.71	0	35.1901	0
3107.362	69.54336	123.67	222.4486	4	62.7623	0	37.1377	0
3107.487	67.53601	120.046	221.7512	4	60.2824	0	39.6176	0
3107.612	65.64641	116.2403	220.9071	4	55.7976	0	44.1024	0
3107.737	63.89683	112.6486	219.9537	4	49.3402	0	50.5598	0
3107.862	62.31647	109.3799	219.1271	4	42.417	1.893	55.59	0
3107.987	60.96483	106.5157	218.5946	2	37.4975	5.8133	56.5892	0
3108.112	59.89351	104.1369	218.4521	1	34.931	9.1081	55.8609	0
3108.237	59.14099	102.3237	218.705	1	33.7999	10.6799	55.4202	0
