DEPTH	SDTC	1-AMP	SDTS	CAI	SDTST
211.125	0.071914	-0.137424	0.007878	-0.183669	0.029973
211.25	0.060891	-0.171411	0.011207	-0.23069	0.020055
211.375	0.049697	-0.134901	0.01323	-0.180156	0.008618
211.5	0.039135	-0.173946	0.013656	-0.234706	-0.001629
211.625	0.029248	-0.095461	0.011538	-0.133224	-0.005187
211.75	0.019712	-0.166877	0.00721	-0.22885	0.001039
211.875	0.011212	-0.197646	0.00266	-0.26392	0.011722
212	0.004975	-0.215331	0.000284	-0.292393	0.028956
212.125	0.002888	-0.156413	-0.000409	-0.21305	0.04863
212.25	0.008834	-0.081414	0.003009	-0.11845	0.066117
212.375	0.018145	-0.07042	0.010189	-0.102407	0.079248
212.5	0.028443	-0.096701	0.017937	-0.141814	0.088136
212.625	0.038803	-0.102646	0.024416	-0.151763	0.092328
212.75	0.048436	-0.13701	0.029778	-0.194733	0.090458
212.875	0.057638	-0.201727	0.036212	-0.274386	0.083087
213	0.067427	-0.293627	0.043645	-0.395797	0.07247
213.125	0.078054	-0.278857	0.050073	-0.380873	0.060607
213.25	0.087674	-0.302878	0.051724	-0.407932	0.047978
213.375	0.091843	-0.283042	0.044662	-0.38704	0.033525
213.5	0.086689	-0.283171	0.026477	-0.38936	0.018163
213.625	0.073564	-0.335882	0.007013	-0.456468	0.005704
213.75	0.054056	-0.313967	-0.01798	-0.424351	0.000441
213.875	0.03145	-0.271595	-0.002161	-0.368107	-0.001314
214	0.012346	-0.267001	0.079579	-0.362481	0.00175
214.125	0.002047	-0.30841	0.182245	-0.420377	0.007858
214.25	0.000882	-0.244069	0.257997	-0.332796	0.013883
214.375	0.007806	-0.243002	0.272828	-0.334612	0.017926
214.5	0.013996	-0.285152	0.235241	-0.386834	0.018387
214.625	0.014475	-0.303051	0.179261	-0.416253	0.014721
214.75	0.012044	-0.319578	0.121676	-0.428202	0.008601
214.875	0.009479	-0.204794	0.064259	-0.293149	0.001968
215	0.007476	-0.236182	0.007243	-0.331071	0.001045
215.125	0.004265	-0.21642	-0.005316	-0.298206	0.002416
215.25	-0.00013	-0.038806	0.000512	-0.077953	0.002189
215.375	-0.003205	0.063461	0.014276	0.041828	0.000685
215.5	0.000821	0.123087	0.026013	0.118566	-0.00377
215.625	0.02095	0.104961	0.026036	0.09782	0.001713
215.75	0.061262	0.064198	0.015675	0.054181	0.034641
215.875	0.118592	0.113182	0.010839	0.129362	0.097942
216	0.190515	0.177132	0.03803	0.208942	0.187348
216.125	0.278587	0.17019	0.073562	0.196502	0.28877
216.25	0.380389	0.274611	0.124787	0.321027	0.377289
216.375	0.484046	0.29595	0.182985	0.357031	0.433592
216.5	0.573357	0.339011	0.235477	0.399538	0.45617
216.625	0.630711	0.340925	0.276722	0.406924	0.447
216.75	0.641644	0.34973	0.288886	0.416211	0.415434
216.875	0.613413	0.349124	0.284936	0.417791	0.372791
217	0.565415	0.334383	0.265317	0.384162	0.320678
217.125	0.514652	0.353399	0.249373	0.402724	0.256567
217.25	0.472083	0.379058	0.231162	0.422319	0.17775
217.375	0.434064	0.344489	0.217117	0.385333	0.096812
217.5	0.39066	0.279333	0.208307	0.306631	0.037419
217.625	0.339983	0.250823	0.200431	0.271386	0.006734
217.75	0.285052	0.218176	0.184655	0.219687	0.027008
217.875	0.232159	0.192785	0.1479	0.19867	0.069213
218	0.183964	0.211795	0.096779	0.205034	0.083489
218.125	0.140068	0.252148	0.051097	0.263676	0.065359
218.25	0.099726	0.250891	0.020897	0.275038	0.027761
218.375	0.063077	0.280031	0.002961	0.317285	-0.008261
218.5	0.031792	0.265493	-0.000905	0.305229	-0.018806
218.625	0.009758	0.295909	0.004709	0.338509	-0.000601
218.75	-0.001149	0.310518	0.004613	0.370622	0.004231
218.875	0.000437	0.273271	0.005722	0.328145	0.035501
219	0.006043	0.205852	0.006244	0.236462	0.086363
219.125	0.019056	0.115582	0.005658	0.119176	0.143991
219.25	0.04217	0.05416	0.002738	0.037684	0.195274
219.375	0.072543	-0.121018	-0.001477	-0.191552	0.229592
219.5	0.106459	-0.173943	-0.004429	-0.255766	0.236188
219.625	0.137215	-0.06023	0.007544	-0.121032	0.212075
219.75	0.162792	0.032373	0.029052	-0.016034	0.16967
219.875	0.188071	0.04075	0.042065	-0.006332	0.123675
220	0.215951	0.128046	0.041985	0.137907	0.081526
220.125	0.241603	0.202477	0.028787	0.230766	0.045527
220.25	0.259054	0.292936	0.01012	0.36018	0.015988
220.375	0.274071	0.38469	0.001203	0.447771	0.00661
220.5	0.296826	0.355373	0.008029	0.426075	0.038772
220.625	0.332595	0.348136	0.035273	0.416695	0.069507
220.75	0.369949	0.337823	0.084767	0.402922	0.071019
220.875	0.386562	0.256594	0.151551	0.284795	0.037951
221	0.375593	0.275428	0.220274	0.326061	0.006876
221.125	0.340968	0.325258	0.277691	0.414217	-0.002784
221.25	0.290359	0.350087	0.312477	0.430094	0.04852
221.375	0.235139	0.341196	0.328048	0.396149	0.158404
221.5	0.17911	0.353708	0.333657	0.438474	0.251505
221.625	0.121763	0.342276	0.334821	0.420652	0.28373
221.75	0.06458	0.308713	0.333867	0.355052	0.239674
221.875	0.021368	0.283948	0.336925	0.323599	0.14209
222	0.009309	0.328251	0.350641	0.35641	0.047772
222.125	0.030315	0.344421	0.372027	0.399359	-0.003533
222.25	0.077434	0.338316	0.392504	0.363986	0.002728
222.375	0.116111	0.341812	0.401955	0.357042	0.046904
222.5	0.135141	0.305296	0.401043	0.314229	0.086317
222.625	0.135357	0.276489	0.402142	0.303248	0.085096
222.75	0.122264	0.229722	0.409912	0.218123	0.052061
222.875	0.09745	0.203179	0.420577	0.156862	0.010884
223	0.064303	0.159283	0.415701	0.058788	0.029126
223.125	0.03384	0.150867	0.376451	0.09329	0.096368
223.25	0.011963	0.11787	0.302672	0.073915	0.17043
223.375	-0.001786	0.095058	0.210562	0.069302	0.217317
223.5	-0.009634	0.050063	0.123737	-0.003025	0.209183
223.625	-0.01193	0.016305	0.063793	-0.044685	0.152471
223.75	-0.005612	0.013439	0.030313	-0.038853	0.090993
223.875	0.005927	0.047656	0.011712	-0.010274	0.055929
224	0.018074	0.104158	0.002044	0.041566	0.054881
224.125	0.034152	0.186822	0.00353	0.131479	0.066408
224.25	0.054287	0.233274	0.012864	0.202272	0.05502
224.375	0.081189	0.267631	0.022313	0.248901	0.022987
224.5	0.110184	0.33015	0.026995	0.404908	0.002129
224.625	0.130285	0.298827	0.024878	0.368874	0.021088
224.75	0.128083	0.273126	0.017626	0.342645	0.107759
224.875	0.104805	0.332132	0.008284	0.414548	0.247579
225	0.071801	0.357017	0.001587	0.453601	0.407713
225.125	0.038659	0.350164	0.010118	0.432406	0.566111
225.25	0.01381	0.367947	0.04194	0.458302	0.689985
225.375	0.000829	0.332641	0.083353	0.401824	0.731858
225.5	0.002046	0.34591	0.113628	0.420631	0.652026
225.625	0.014318	0.305575	0.12107	0.37856	0.472675
225.75	0.032971	0.295349	0.101841	0.350652	0.241975
225.875	0.049159	0.257344	0.06586	0.310103	0.062623
226	0.056065	0.270778	0.030967	0.345216	0.001601
226.125	0.053062	0.229764	0.006912	0.27441	0.031051
226.25	0.04335	0.282993	-0.000498	0.354213	0.100458
226.375	0.032088	0.270961	0.000549	0.340747	0.144107
226.5	0.02299	0.264416	0.012642	0.346153	0.132827
226.625	0.015689	0.198964	0.029324	0.263844	0.087067
226.75	0.008885	0.154241	0.038963	0.190574	0.038478
226.875	0.002683	0.202064	0.036208	0.257616	0.006299
227	-0.00029	0.121656	0.022193	0.145841	0.009163
227.125	0.002423	0.15728	0.007258	0.197354	0.043923
227.25	0.00567	0.1862	0.00149	0.245717	0.101817
227.375	0.013299	0.170177	0.010131	0.226564	0.172268
227.5	0.021839	0.169342	0.022752	0.22375	0.243306
227.625	0.026864	0.215038	0.027371	0.273465	0.305299
227.75	0.026345	0.286087	0.019552	0.370965	0.354666
227.875	0.021533	0.204558	0.007411	0.230305	0.390406
228	0.013854	0.181639	0.000715	0.227311	0.407642
228.125	0.00579	0.148176	0.010739	0.120032	0.394651
228.25	0.00088	0.190631	0.033709	0.202977	0.34916
228.375	0.010385	0.285541	0.062914	0.337719	0.27736
228.5	0.023393	0.307279	0.095468	0.367105	0.191839
228.625	0.040388	0.31738	0.133333	0.356363	0.106645
228.75	0.063166	0.335019	0.179939	0.393497	0.040854
228.875	0.092171	0.245722	0.231112	0.226283	0.007145
229	0.122774	0.329632	0.276163	0.365225	0.00108
229.125	0.148028	0.352972	0.303969	0.407421	0.017919
229.25	0.156403	0.408978	0.299414	0.493228	0.073153
229.375	0.142847	0.450966	0.260916	0.555914	0.160606
